Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Shipping Type,Add-on Total,Total Transaction
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,Standard,40.21,5578.54
1000,53,Male,No,Tablet,SKU1002,3,Completed,PayPal,741.09,247.03,3,Overnight,26.09,767.1800000000001
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,Express,0.0,1855.84
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,Overnight,60.16,3224.92
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,Express,35.56,77.06
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,Standard,65.78,148.78
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,7603.47,844.83,9,Overnight,0.0,7603.47
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,Overnight,75.33,4250.97
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,Standard,43.05,5581.38
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,Express,0.0,4175.64
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,PayPal,2470.3,247.03,10,Overnight,90.38,2560.6800000000003
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,Overnight,55.48,7176.19
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,Express,65.85,3445.17
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,Standard,70.17,7982.07
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,5538.33,791.19,7,Overnight,57.81,5596.14
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,Standard,69.31,5138.29
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,Standard,8.3,4755.4400000000005
1015,22,Male,No,Smartphone,SKU1001,5,Completed,PayPal,83.0,20.75,4,Standard,80.0,163.0
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,PayPal,103.75,20.75,5,Overnight,0.0,103.75
1018,34,Male,No,Smartphone,SKU1001,5,Completed,PayPal,124.5,20.75,6,Express,70.39,194.89
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83.0,20.75,4,Express,0.0,83.0
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,Express,37.87,1025.99
1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,PayPal,844.83,844.83,1,Express,49.17,894.0
